cow_i,cow_j,start_ts,end_ts,zone
1,6,46,141,free_area
5,6,43,141,free_area
12,14,122,343,resting_bunk_4
3,6,0,411,resting_bunk_1
12,13,4,454,resting_bunk_4
12,14,387,550,resting_bunk_4
2,19,455,585,free_area
7,19,435,585,resting_bunk_5
1,6,429,635,water_trough
5,18,576,747,water_trough
0,3,726,864,free_area
4,17,585,867,resting_bunk_5
11,15,84,683,resting_bunk_7
11,15,684,941,resting_bunk_7
2,7,322,921,free_area
2,7,922,983,free_area
12,14,552,1026,resting_bunk_4
1,6,727,1044,water_trough
3,5,864,1100,free_area
0,3,872,1108,free_area
3,6,427,1026,free_area
3,6,1027,1112,free_area
9,10,801,1130,free_area
14,19,738,1337,water_trough
14,19,1338,1341,water_trough
3,18,1230,1344,water_trough
13,14,1341,1568,free_area
2,14,1576,1675,free_area
3,18,1702,1819,water_trough
1,3,552,1151,water_trough
1,3,1152,1751,water_trough
1,3,1752,1823,water_trough
3,11,1749,1823,water_trough
14,16,1586,1913,water_trough
0,1,1725,2014,free_area
1,6,1706,2017,water_trough
3,11,1828,2083,water_trough
13,14,1917,2203,free_area
12,14,2059,2211,free_area
7,19,1348,1947,free_area
7,19,1948,2268,free_area
0,11,1449,2048,free_area
0,11,2049,2276,free_area
13,14,2253,2372,free_area
2,19,998,1597,free_area
2,19,1598,2197,free_area
2,19,2198,2418,free_area
5,18,48,181,water_trough
7,14,68,240,free_area
2,14,68,251,free_area
1,5,53,590,free_area
8,9,549,627,resting_bunk_6
0,6,506,908,free_area
12,14,253,852,free_area
12,14,853,913,free_area
12,14,940,1022,free_area
13,14,550,1024,free_area
7,16,937,1084,water_trough
3,15,951,1107,water_trough
3,6,951,1108,water_trough
3,18,171,770,water_trough
3,18,771,1112,water_trough
14,19,1037,1200,water_trough
2,14,787,1205,free_area
0,1,986,1338,resting_bunk_6
7,14,775,1370,water_trough
13,14,1199,1371,free_area
15,18,717,1316,free_area
15,18,1317,1475,free_area
12,14,1203,1487,water_trough
2,14,1479,1730,free_area
14,19,1479,1733,water_trough
0,1,1352,1831,resting_bunk_6
6,15,1615,1835,free_area
6,11,1032,1631,free_area
6,11,1632,1838,free_area
3,6,1468,1866,water_trough
7,14,1378,1912,water_trough
13,14,1376,1912,free_area
4,17,938,1537,resting_bunk_5
4,17,1538,1997,resting_bunk_5
7,16,1855,2076,water_trough
2,14,2041,2172,free_area
14,19,2034,2256,water_trough
3,18,1229,1828,water_trough
3,18,1829,2428,water_trough
3,18,2429,2488,water_trough
2,13,1344,1943,free_area
2,13,1944,2511,free_area
7,16,2281,2566,water_trough
2,19,357,956,free_area
2,19,957,1556,free_area
2,19,1557,2156,free_area
2,19,2157,2626,free_area
3,15,1683,2282,water_trough
3,15,2283,2626,water_trough
3,11,1552,2151,water_trough
3,11,2152,2629,water_trough
2,13,2708,2770,water_trough
7,13,1253,1852,water_trough
7,13,1853,2452,water_trough
7,13,2453,2773,water_trough
7,16,2571,2812,water_trough
14,16,2769,2849,water_trough
2,19,2644,2900,free_area
14,16,3035,3291,water_trough
13,16,3111,3292,water_trough
12,19,1881,2480,water_trough
12,19,2481,3080,water_trough
12,19,3081,3362,water_trough
12,14,1561,2160,water_trough
12,14,2161,2760,water_trough
12,14,2761,3360,water_trough
12,14,3361,3380,water_trough
14,19,2336,2935,water_trough
14,19,2936,3401,water_trough
7,14,1918,2517,water_trough
7,14,2518,3117,water_trough
7,14,3118,3426,water_trough
9,10,1305,1904,free_area
9,10,1905,2504,free_area
9,10,2505,3104,free_area
9,10,3105,3530,free_area
7,12,1459,2058,water_trough
7,12,2059,2658,water_trough
7,12,2659,3258,water_trough
7,12,3259,3605,water_trough
14,16,3492,4091,water_trough
14,16,4092,4246,water_trough
14,16,4391,4559,water_trough
3,6,1950,2549,water_trough
3,6,2550,3149,water_trough
3,6,3150,3749,water_trough
3,6,3750,4349,water_trough
3,6,4350,4643,water_trough
3,11,2989,3588,water_trough
3,11,3589,4188,water_trough
3,11,4189,4645,water_trough
4,17,2038,2637,resting_bunk_5
4,17,2638,3237,resting_bunk_5
4,17,3238,3837,resting_bunk_5
4,17,3838,4437,resting_bunk_5
4,17,4438,4648,resting_bunk_5
6,18,717,1316,free_area
6,18,1317,1916,free_area
6,18,1917,2516,free_area
6,18,2517,3116,free_area
6,18,3117,3716,free_area
6,18,3717,4316,free_area
6,18,4317,4708,free_area
13,14,1917,2516,water_trough
13,14,2517,3116,water_trough
13,14,3117,3716,water_trough
13,14,3717,4316,water_trough
13,14,4317,4787,water_trough
15,18,1713,2312,water_trough
15,18,2313,2912,water_trough
15,18,2913,3512,water_trough
15,18,3513,4112,water_trough
15,18,4113,4712,water_trough
15,18,4713,5106,water_trough
13,16,5016,5138,water_trough
12,16,5101,5204,water_trough
7,16,5002,5261,water_trough
2,12,2707,3306,water_trough
2,12,3307,3906,water_trough
2,12,3907,4506,water_trough
2,12,4507,5106,water_trough
2,12,5107,5283,water_trough
12,13,456,1055,resting_bunk_4
12,13,1056,1655,resting_bunk_4
12,13,1656,2255,resting_bunk_4
12,13,2256,2855,resting_bunk_4
12,13,2856,3455,resting_bunk_4
12,13,3456,4055,resting_bunk_4
12,13,4056,4655,resting_bunk_4
12,13,4656,5255,resting_bunk_4
12,13,5256,5283,resting_bunk_4
11,15,2023,2622,water_trough
11,15,2623,3222,water_trough
11,15,3223,3822,water_trough
11,15,3823,4422,water_trough
11,15,4423,5022,water_trough
11,15,5023,5402,water_trough
11,15,5405,5487,water_trough
