week,cow_id,pen_id
0,0,2
0,1,2
0,2,1
0,3,2
0,4,-1
0,5,2
0,6,2
0,7,1
0,8,3
0,9,3
0,10,3
0,11,2
0,12,1
0,13,1
0,14,1
0,15,2
0,16,1
0,17,-1
0,18,2
0,19,1
1,0,2
1,1,2
1,2,1
1,3,2
1,4,-1
1,5,2
1,6,2
1,7,1
1,8,3
1,9,3
1,10,3
1,11,2
1,12,1
1,13,1
1,14,1
1,15,2
1,16,1
1,17,-1
1,18,2
1,19,1
2,0,2
2,1,2
2,2,1
2,3,2
2,4,-1
2,5,2
2,6,2
2,7,1
2,8,3
2,9,3
2,10,3
2,11,2
2,12,1
2,13,1
2,14,1
2,15,2
2,16,1
2,17,-1
2,18,2
2,19,1
3,0,2
3,1,2
3,2,1
3,3,2
3,4,-1
3,5,2
3,6,2
3,7,1
3,8,3
3,9,3
3,10,3
3,11,2
3,12,1
3,13,1
3,14,1
3,15,2
3,16,1
3,17,-1
3,18,2
3,19,1
