cow_i,cow_j,week,pen_id,weight,weight_delta
0,11,0,2,2048,0.0
0,15,0,2,564,0.0
1,0,0,2,17462,0.0
1,3,0,2,597382,0.0
1,3,1,2,603792,6410.0
1,3,2,2,603792,0.0
1,3,3,2,603283,-509.0
1,5,0,2,545683,0.0
1,5,1,2,603792,58109.0
1,5,2,2,603792,0.0
1,5,3,2,603327,-465.0
1,6,0,2,25913,0.0
1,11,0,2,548907,0.0
1,11,1,2,603792,54885.0
1,11,2,2,603792,0.0
1,11,3,2,603232,-560.0
1,15,0,2,19300,0.0
1,18,0,2,578487,0.0
1,18,1,2,603792,25305.0
1,18,2,2,603792,0.0
1,18,3,2,603502,-290.0
2,7,0,1,10629,0.0
2,14,1,1,603792,0.0
2,14,2,1,603792,0.0
2,14,3,1,603566,-226.0
2,16,0,1,583426,0.0
2,16,1,1,603792,20366.0
2,16,2,1,603792,0.0
2,16,3,1,603615,-177.0
2,19,0,1,34109,0.0
3,0,0,2,374,0.0
3,5,1,2,603792,0.0
3,5,2,2,603792,0.0
3,5,3,2,603532,-260.0
3,6,1,2,603792,0.0
3,6,2,2,603792,0.0
3,6,3,2,603254,-538.0
3,11,0,2,546877,0.0
3,11,1,2,603792,56915.0
3,11,2,2,603792,0.0
3,11,3,2,603784,-8.0
3,15,0,2,32801,0.0
3,18,0,2,588309,0.0
3,18,1,2,603792,15483.0
3,18,2,2,603792,0.0
3,18,3,2,603673,-119.0
4,17,0,-1,1212167,0.0
5,3,0,2,553901,0.0
5,6,1,2,603792,0.0
5,6,2,2,603792,0.0
5,6,3,2,603343,-449.0
5,11,0,2,561838,0.0
5,11,1,2,603792,41954.0
5,11,2,2,603792,0.0
5,11,3,2,603404,-388.0
5,15,0,2,32995,0.0
5,18,0,2,43795,0.0
6,0,0,2,402,0.0
6,3,0,2,607441,0.0
6,5,0,2,559360,0.0
6,11,0,2,571299,0.0
6,15,0,2,23168,0.0
6,18,0,2,34490,0.0
7,16,0,1,1461,0.0
7,19,1,1,603792,0.0
7,19,2,1,603792,0.0
7,19,3,1,603400,-392.0
9,8,0,3,1718,0.0
9,10,0,3,502137,0.0
9,10,1,3,603792,101655.0
9,10,2,3,603792,0.0
9,10,3,3,603743,-49.0
10,8,0,3,9815,0.0
11,6,1,2,603792,0.0
11,6,2,2,603792,0.0
11,6,3,2,603623,-169.0
11,15,0,2,64526,0.0
11,18,1,2,603792,0.0
11,18,2,2,603792,0.0
11,18,3,2,603676,-116.0
12,2,0,1,32451,0.0
12,7,0,1,8913,0.0
12,13,0,1,38932,0.0
12,14,0,1,22222,0.0
12,16,0,1,487217,0.0
12,19,0,1,30891,0.0
13,2,0,1,27784,0.0
13,7,0,1,8697,0.0
13,16,0,1,18416,0.0
13,19,0,1,42573,0.0
14,2,0,1,598189,0.0
14,7,0,1,9443,0.0
14,13,0,1,548288,0.0
14,13,1,1,603792,55504.0
14,13,2,1,603792,0.0
14,13,3,1,603698,-94.0
14,16,0,1,4667,0.0
14,19,0,1,20251,0.0
16,12,1,1,603792,0.0
16,12,2,1,603792,0.0
16,12,3,1,603287,-505.0
18,11,0,2,550193,0.0
18,15,0,2,27114,0.0
19,7,0,1,560507,0.0
19,16,0,1,15230,0.0
