week,pen_id,num_nodes,num_edges,density,avg_degree,avg_strength,avg_betweenness,avg_eigenvector,num_nodes_delta,num_edges_delta,density_delta,avg_degree_delta,avg_strength_delta,avg_betweenness_delta,avg_eigenvector_delta
0,-1,2,1,1.0,1.0,1212167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-1,0,0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-1.0,-1.0,-1212167.0,0.0,0.0
2,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,7,21,1.0,6.0,886941.7142857143,0.19999999999999998,0.32837142117568086,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,7,5,0.23809523809523808,1.4285714285714286,862560.0,0.09523809523809525,0.0,0.0,-16.0,-0.7619047619047619,-4.571428571428571,-24381.71428571432,-0.10476190476190474,-0.32837142117568086
2,1,7,5,0.23809523809523808,1.4285714285714286,862560.0,0.09523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,7,5,0.23809523809523808,1.4285714285714286,862161.7142857143,0.09523809523809525,0.0,0.0,0.0,0.0,0.0,-398.285714285681,0.0,0.0
0,2,8,26,0.9285714285714286,6.5,1783657.25,0.16666666666666666,0.3082286331476413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,6,12,0.8,4.0,2415168.0,0.049999999999999996,0.4039619630642775,-2.0,-14.0,-0.12857142857142856,-2.5,631510.75,-0.11666666666666667,0.09573332991663619
2,2,6,12,0.8,4.0,2415168.0,0.049999999999999996,0.4039619630642775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,6,12,0.8,4.0,2413877.6666666665,0.05000000000000001,0.4039617560448053,0.0,0.0,0.0,0.0,-1290.3333333334886,1.3877787807814457e-17,-2.0701947223145112e-07
0,3,3,3,1.0,2.0,342446.6666666667,0.3333333333333333,0.4767541685645063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,2,1,1.0,1.0,603792.0,0.0,0.0,-1.0,-2.0,0.0,-1.0,261345.3333333333,-0.3333333333333333,-0.4767541685645063
2,3,2,1,1.0,1.0,603792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,2,1,1.0,1.0,603743.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.0,0.0,0.0
