cow_id,week,pen_id,degree,strength,betweenness,eigenvector,degree_delta,strength_delta,betweenness_delta,eigenvector_delta
0.0,0,2,5.0,20850.0,0.8571428571428571,0.003553419212646617,0.0,0.0,0.0,0.0
1.0,0,2,7.0,2333134.0,0.0,0.40763152609817976,0.0,0.0,0.0,0.0
1.0,1,2,4.0,2415168.0,0.03333333333333333,0.40916676624902976,-3.0,82034.0,0.03333333333333333,0.0015352401508499924
1.0,2,2,4.0,2415168.0,0.03333333333333333,0.4091667662490297,0.0,0.0,0.0,-5.551115123125783e-17
1.0,3,2,4.0,2413344.0,0.1,0.4090902407703831,0.0,-1824.0,0.06666666666666668,-7.65254786466163e-05
2.0,0,1,6.0,1286588.0,0.0,0.5822800739261351,0.0,0.0,0.0,0.0
2.0,1,1,2.0,1207584.0,0.26666666666666666,0.0,-4.0,-79004.0,0.26666666666666666,-0.5822800739261351
2.0,2,1,2.0,1207584.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0
2.0,3,1,2.0,1207181.0,0.26666666666666666,0.0,0.0,-403.0,0.0,0.0
3.0,0,2,7.0,2927085.0,0.0,0.476309262431502,0.0,0.0,0.0,0.0
3.0,1,2,5.0,3018960.0,0.11666666666666665,0.4734829357255991,-2.0,91875.0,0.11666666666666665,-0.0028263267059029373
3.0,2,2,5.0,3018960.0,0.11666666666666665,0.47348293572559896,0.0,0.0,0.0,-1.1102230246251565e-16
3.0,3,2,5.0,3017526.0,0.2,0.4735115119438081,0.0,-1434.0,0.08333333333333336,2.857621820911982e-05
4.0,0,-1,1.0,1212167.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0,2,6.0,2297572.0,0.0,0.4026509485818606,0.0,0.0,0.0,0.0
5.0,1,2,4.0,2415168.0,0.03333333333333333,0.40916676624902965,-2.0,117596.0,0.03333333333333333,0.0065158176671690216
5.0,2,2,4.0,2415168.0,0.03333333333333333,0.40916676624902953,0.0,0.0,0.0,-1.1102230246251565e-16
5.0,3,2,4.0,2413606.0,0.0,0.4091163922129372,0.0,-1562.0,-0.03333333333333333,-5.03740360923155e-05
6.0,0,2,7.0,1822073.0,0.0,0.33919235689602706,0.0,0.0,0.0,0.0
6.0,1,2,3.0,1811376.0,0.0,0.32923618721820397,-4.0,-10697.0,0.0,-0.00995616967782309
6.0,2,2,3.0,1811376.0,0.0,0.32923618721820375,0.0,0.0,0.0,-2.220446049250313e-16
6.0,3,2,3.0,1810220.0,0.0,0.32920760506926167,0.0,-1156.0,0.0,-2.858214894208011e-05
7.0,0,1,6.0,599650.0,0.8,0.06729732150724661,0.0,0.0,0.0,0.0
7.0,1,1,1.0,603792.0,0.0,0.0,-5.0,4142.0,-0.8,-0.06729732150724661
7.0,2,1,1.0,603792.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,3,1,1.0,603400.0,0.0,0.0,0.0,-392.0,0.0,0.0
8.0,0,3,2.0,11533.0,1.0,0.016235345421016532,0.0,0.0,0.0,0.0
9.0,0,3,2.0,503855.0,0.0,0.7069481396982195,0.0,0.0,0.0,0.0
9.0,1,3,1.0,603792.0,0.0,0.0,-1.0,99937.0,0.0,-0.7069481396982195
9.0,2,3,1.0,603792.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,3,3,1.0,603743.0,0.0,0.0,0.0,-49.0,0.0,0.0
10.0,0,3,2.0,511952.0,0.0,0.707079020574283,0.0,0.0,0.0,0.0
10.0,1,3,1.0,603792.0,0.0,0.0,-1.0,91840.0,0.0,-0.707079020574283
10.0,2,3,1.0,603792.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,3,3,1.0,603743.0,0.0,0.0,0.0,-49.0,0.0,0.0
11.0,0,2,7.0,2845688.0,0.0,0.46235837079340963,0.0,0.0,0.0,0.0
11.0,1,2,5.0,3018960.0,0.11666666666666665,0.4734829357255989,-2.0,173272.0,0.11666666666666665,0.011124564932189274
11.0,2,2,5.0,3018960.0,0.11666666666666665,0.47348293572559913,0.0,0.0,0.0,2.220446049250313e-16
11.0,3,2,5.0,3017719.0,0.0,0.47352744818761444,0.0,-1241.0,-0.11666666666666665,4.451246201531145e-05
12.0,0,1,6.0,620626.0,0.0,0.2641679917850673,0.0,0.0,0.0,0.0
12.0,1,1,1.0,603792.0,0.0,0.0,-5.0,-16834.0,0.0,-0.2641679917850673
12.0,2,1,1.0,603792.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,3,1,1.0,603287.0,0.0,0.0,0.0,-505.0,0.0,0.0
13.0,0,1,6.0,684690.0,0.0,0.3123596167510407,0.0,0.0,0.0,0.0
13.0,1,1,1.0,603792.0,0.0,0.0,-5.0,-80898.0,0.0,-0.3123596167510407
13.0,2,1,1.0,603792.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,3,1,1.0,603698.0,0.0,0.0,0.0,-94.0,0.0,0.0
14.0,0,1,6.0,1203060.0,0.0,0.5146529811218873,0.0,0.0,0.0,0.0
14.0,1,1,2.0,1207584.0,0.2,0.0,-4.0,4524.0,0.2,-0.5146529811218873
14.0,2,1,2.0,1207584.0,0.2,0.0,0.0,0.0,0.0,0.0
14.0,3,1,2.0,1207264.0,0.2,0.0,0.0,-320.0,0.0,0.0
15.0,0,2,7.0,200468.0,0.47619047619047616,0.035390825172500015,0.0,0.0,0.0,0.0
16.0,0,1,6.0,1110417.0,0.6,0.46413195460969914,0.0,0.0,0.0,0.0
16.0,1,1,2.0,1207584.0,0.2,0.0,-4.0,97167.0,-0.39999999999999997,-0.46413195460969914
16.0,2,1,2.0,1207584.0,0.2,0.0,0.0,0.0,0.0,0.0
16.0,3,1,2.0,1206902.0,0.2,0.0,0.0,-682.0,0.0,0.0
17.0,0,-1,1.0,1212167.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0,2,6.0,1822388.0,0.0,0.33874235599500463,0.0,0.0,0.0,0.0
18.0,1,2,3.0,1811376.0,0.0,0.32923618721820397,-3.0,-11012.0,0.0,-0.00950616877680066
18.0,2,2,3.0,1811376.0,0.0,0.3292361872182039,0.0,0.0,0.0,-5.551115123125783e-17
18.0,3,2,3.0,1810851.0,0.0,0.3293173380848271,0.0,-525.0,0.0,8.115086662319193e-05
19.0,0,1,6.0,703561.0,0.0,0.09371000852868981,0.0,0.0,0.0,0.0
19.0,1,1,1.0,603792.0,0.0,0.0,-5.0,-99769.0,0.0,-0.09371000852868981
19.0,2,1,1.0,603792.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,3,1,1.0,603400.0,0.0,0.0,0.0,-392.0,0.0,0.0
