cow_id,degree,strength,betweenness,eigenvector,pen_id,week,degree_delta,strength_delta,betweenness_delta,eigenvector_delta
0,5,20850,0.8571428571428571,0.003553419212646617,2,0,0.0,0.0,0.0,0.0
1,7,2333134,0.0,0.40763152609817976,2,0,0.0,0.0,0.0,0.0
1,4,2415168,0.03333333333333333,0.40916676624902976,2,1,-3.0,82034.0,0.03333333333333333,0.0015352401508499924
1,4,2415168,0.03333333333333333,0.4091667662490297,2,2,0.0,0.0,0.0,-5.551115123125783e-17
1,4,2413344,0.1,0.4090902407703831,2,3,0.0,-1824.0,0.06666666666666668,-7.65254786466163e-05
2,6,1286588,0.0,0.5822800739261351,1,0,0.0,0.0,0.0,0.0
2,2,1207584,0.26666666666666666,0.0,1,1,-4.0,-79004.0,0.26666666666666666,-0.5822800739261351
2,2,1207584,0.26666666666666666,0.0,1,2,0.0,0.0,0.0,0.0
2,2,1207181,0.26666666666666666,0.0,1,3,0.0,-403.0,0.0,0.0
3,7,2927085,0.0,0.476309262431502,2,0,0.0,0.0,0.0,0.0
3,5,3018960,0.11666666666666665,0.4734829357255991,2,1,-2.0,91875.0,0.11666666666666665,-0.0028263267059029373
3,5,3018960,0.11666666666666665,0.47348293572559896,2,2,0.0,0.0,0.0,-1.1102230246251565e-16
3,5,3017526,0.2,0.4735115119438081,2,3,0.0,-1434.0,0.08333333333333336,2.857621820911982e-05
4,1,1212167,0.0,0.0,-1,0,0.0,0.0,0.0,0.0
5,6,2297572,0.0,0.4026509485818606,2,0,0.0,0.0,0.0,0.0
5,4,2415168,0.03333333333333333,0.40916676624902965,2,1,-2.0,117596.0,0.03333333333333333,0.0065158176671690216
5,4,2415168,0.03333333333333333,0.40916676624902953,2,2,0.0,0.0,0.0,-1.1102230246251565e-16
5,4,2413606,0.0,0.4091163922129372,2,3,0.0,-1562.0,-0.03333333333333333,-5.03740360923155e-05
6,7,1822073,0.0,0.33919235689602706,2,0,0.0,0.0,0.0,0.0
