cow_id,mean_conflict_risk,std_conflict_risk,max_conflict_risk,mean_isolation_risk,std_isolation_risk,max_isolation_risk,conflict_high_risk,isolation_high_risk
0,0.39,0.019,0.419,0.785,0.154,0.862,False,True
1,0.531,0.062,0.564,0.481,0.076,0.53,False,False
2,0.694,0.172,0.796,0.439,0.183,0.531,True,False
3,0.678,0.147,0.751,0.372,0.018,0.399,True,False
4,0.531,0.062,0.624,0.395,0.211,0.5,False,False
5,0.509,0.11,0.564,0.459,0.023,0.49,False,False
6,0.415,0.008,0.419,0.565,0.149,0.639,False,False
7,0.482,0.054,0.525,0.481,0.236,0.6,False,False
8,0.475,0.02,0.505,0.852,0.211,0.958,False,True
9,0.496,0.031,0.511,0.494,0.012,0.512,False,False
10,0.496,0.031,0.511,0.494,0.013,0.513,False,False
11,0.677,0.148,0.751,0.371,0.016,0.396,True,False
12,0.477,0.061,0.525,0.461,0.24,0.581,False,False
13,0.473,0.069,0.525,0.454,0.253,0.581,False,False
14,0.619,0.134,0.701,0.443,0.203,0.544,True,False
15,0.412,0.042,0.468,0.751,0.223,0.862,False,True
16,0.657,0.183,0.764,0.429,0.23,0.544,True,False
17,0.531,0.062,0.624,0.395,0.211,0.5,False,False
18,0.393,0.044,0.419,0.577,0.112,0.639,False,False
19,0.472,0.071,0.525,0.467,0.266,0.6,False,False
