week,pen_id,cow_id,degree,betweenness,eigenvector,interaction_count,degree_delta,betweenness_delta,eigenvector_delta
0,-1,4,1.0,0.0,0.7071067811865476,1,,,
1,-1,4,0.0,0.0,0.0,0,-1.0,0.0,-0.7071067811865476
2,-1,4,0.0,0.0,0.0,0,0.0,0.0,0.0
3,-1,4,0.0,0.0,0.0,0,0.0,0.0,0.0
0,-1,17,1.0,0.0,0.7071067811865476,1,,,
1,-1,17,0.0,0.0,0.0,0,-1.0,0.0,-0.7071067811865476
2,-1,17,0.0,0.0,0.0,0,0.0,0.0,0.0
3,-1,17,0.0,0.0,0.0,0,0.0,0.0,0.0
0,1,2,1.0,0.0,0.5822809869010139,6,,,
1,1,2,0.3333333333333333,0.26666666666666666,0.5773497943166146,2,-0.6666666666666667,0.26666666666666666,-0.004931192584399335
2,1,2,0.3333333333333333,0.26666666666666666,0.5773497943166146,2,0.0,0.0,0.0
3,1,2,0.3333333333333333,0.26666666666666666,0.5773497943166146,2,0.0,0.0,0.0
0,1,7,1.0,0.8,0.06729733867275281,6,,,
1,1,7,0.16666666666666666,0.0,0.0009066448607770995,1,-0.8333333333333334,-0.8,-0.06639069381197571
2,1,7,0.16666666666666666,0.0,0.0009066448607770995,1,0.0,0.0,0.0
3,1,7,0.16666666666666666,0.0,0.0009066448607770995,1,0.0,0.0,0.0
0,1,12,1.0,0.0,0.26416832582466976,6,,,
1,1,12,0.16666666666666666,0.0,0.28867489759062925,1,-0.8333333333333334,0.0,0.024506571765959495
2,1,12,0.16666666666666666,0.0,0.28867489759062925,1,0.0,0.0,0.0
3,1,12,0.16666666666666666,0.0,0.28867489759062925,1,0.0,0.0,0.0
0,1,13,1.0,0.0,0.31236005233008785,6,,,
1,1,13,0.16666666666666666,0.0,0.28867489759062925,1,-0.8333333333333334,0.0,-0.02368515473945859
2,1,13,0.16666666666666666,0.0,0.28867489759062925,1,0.0,0.0,0.0
3,1,13,0.16666666666666666,0.0,0.28867489759062925,1,0.0,0.0,0.0
0,1,14,1.0,0.0,0.5146521681424686,6,,,
1,1,14,0.3333333333333333,0.2,0.49999958899724867,2,-0.6666666666666667,0.2,-0.014652579145219946
2,1,14,0.3333333333333333,0.2,0.49999958899724867,2,0.0,0.0,0.0
3,1,14,0.3333333333333333,0.2,0.49999958899724867,2,0.0,0.0,0.0
0,1,16,1.0,0.6,0.4641312337277632,6,,,
1,1,16,0.3333333333333333,0.2,0.49999958899724867,2,-0.6666666666666667,-0.39999999999999997,0.03586835526948545
2,1,16,0.3333333333333333,0.2,0.49999958899724867,2,0.0,0.0,0.0
3,1,16,0.3333333333333333,0.2,0.49999958899724867,2,0.0,0.0,0.0
0,1,19,1.0,0.0,0.09370996502551139,6,,,
1,1,19,0.16666666666666666,0.0,0.0009066448607770995,1,-0.8333333333333334,0.0,-0.09280332016473429
2,1,19,0.16666666666666666,0.0,0.0009066448607770995,1,0.0,0.0,0.0
