cow_i,cow_j,start_ts,end_ts,initial_loc_cow_i_x_cm,initial_loc_cow_i_y_cm,initial_loc_cow_i_z_cm,initial_loc_cow_j_x_cm,initial_loc_cow_j_y_cm,initial_loc_cow_j_z_cm
T01,T02,1689960611.0,1689960971.0,119.2,49.6,117.8,120.0,9.2,71.4
T01,T02,1689965066.0,1689965231.0,-177.7,-258.4,133.5,-382.9,-247.4,137.6
T01,T02,1689965381.0,1689965456.0,-20.0,38.3,99.4,152.1,208.8,110.0
T01,T02,1689965591.0,1689965651.0,-95.0,67.0,151.2,129.1,23.2,97.0
T01,T02,1690028501.0,1690028696.0,636.0,-708.4,109.7,767.0,-701.9,108.1
T01,T02,1690028726.0,1690029431.0,634.8,-691.6,146.3,778.8,-740.8,88.4
T01,T02,1690029461.0,1690030031.0,661.8,-679.2,142.1,758.5,-687.8,128.8
T01,T02,1690030061.0,1690030331.0,636.1,-735.7,91.3,783.7,-676.4,127.4
T01,T02,1690030721.0,1690030946.0,-220.2,-605.9,130.0,-125.4,-681.1,135.7
T01,T02,1690033826.0,1690034231.0,-670.4,-714.3,98.3,-763.7,-729.8,96.2
T01,T02,1690047791.0,1690048256.0,-121.2,-713.5,122.2,-365.5,-730.2,93.7
T01,T02,1690050296.0,1690050581.0,-5.0,-35.0,72.6,-215.6,73.0,104.3
T01,T02,1690050626.0,1690050701.0,-21.7,-39.1,65.1,-200.8,13.4,85.2
T01,T02,1690050761.0,1690050851.0,14.5,-87.9,83.2,-200.6,21.9,81.9
T01,T02,1690050971.0,1690051106.0,-14.1,-85.8,72.4,-186.2,16.4,96.6
T01,T02,1690051211.0,1690051346.0,-6.9,-57.5,90.4,-223.1,6.3,74.5
T01,T02,1690051586.0,1690051691.0,19.6,-51.3,99.0,-147.7,0.7,50.1
T01,T02,1690055651.0,1690055831.0,-395.0,-40.1,136.6,-532.0,-22.9,120.0
T01,T02,1690075061.0,1690076216.0,255.7,36.1,103.7,370.7,47.6,86.8
T01,T02,1690079111.0,1690079996.0,456.9,-193.4,97.1,432.8,47.2,91.1
