timestamp,coord_x_cm,coord_y_cm,coord_z_cm
1690952411.0,255.4,-33.1,96.8
1690952426.0,223.3,-23.0,75.3
1690952441.0,245.4,-30.1,104.3
1690952456.0,260.6,-29.3,94.1
1690952471.0,254.1,-30.1,96.2
1690952486.0,253.4,-33.6,98.3
1690952501.0,249.4,-32.7,101.0
1690952516.0,248.3,-30.4,99.9
1690952531.0,248.2,-34.0,100.2
1690952546.0,252.0,-31.1,99.8
1690952561.0,260.2,-24.4,92.5
1690952576.0,255.1,-21.2,83.1
1690952591.0,245.9,-16.3,93.5
1690952606.0,251.3,-22.6,91.1
1690952621.0,233.8,-16.6,81.8
1690952636.0,242.6,-12.9,86.5
1690952651.0,246.8,-40.4,80.2
1690952666.0,250.2,-26.3,79.4
1690952681.0,250.2,-24.9,79.6
1690952696.0,249.3,-33.0,78.4
1690952711.0,248.1,-31.5,91.7
1690952726.0,249.5,-26.3,97.7
1690952741.0,251.5,-26.7,90.7
1690952756.0,283.8,-50.7,103.8
1690952771.0,253.5,-30.8,87.1
1690952786.0,260.2,-25.1,79.1
1690952801.0,277.2,-14.7,84.7
1690952816.0,250.8,-27.7,96.4
1690952831.0,247.1,-28.9,96.3
1690952846.0,259.1,-11.8,83.2
1690952861.0,252.9,-21.2,84.4
1690952876.0,251.4,-24.7,90.7
1690952891.0,257.7,-20.4,81.4
1690952906.0,235.4,-13.5,81.3
1690952921.0,254.8,-30.8,95.6
1690952936.0,247.9,-17.0,93.2
1690952951.0,253.8,-14.7,97.0
1690952966.0,244.1,-26.8,92.6
1690952981.0,243.7,-24.8,88.0
1690952996.0,260.1,-29.3,90.6
1690953011.0,257.5,-29.5,96.9
1690953026.0,247.2,-25.9,88.2
1690953041.0,242.6,-23.9,89.4
1690953056.0,246.3,-21.9,80.5
1690953071.0,247.4,-28.0,82.9
1690953086.0,250.4,-27.4,84.9
1690953101.0,255.0,-31.7,86.8
1690953116.0,245.1,-35.7,92.6
1690953131.0,248.9,-27.7,89.7
1690953146.0,245.5,-25.4,84.9
1690953161.0,248.6,-23.7,86.4
1690953176.0,248.3,-27.0,86.7
1690953191.0,248.8,-31.0,79.7
1690953206.0,247.1,-28.3,86.7
1690953221.0,253.0,-26.4,85.1
1690953236.0,243.6,-29.0,82.3
1690953251.0,244.1,-24.4,85.1
1690953266.0,250.4,-26.3,87.4
1690953281.0,259.5,-29.9,93.9
1690953296.0,244.9,-21.9,85.0
1690953311.0,247.8,-25.2,81.4
1690953326.0,225.5,-27.2,79.3
1690953341.0,256.6,-26.3,92.6
1690953356.0,249.1,-31.1,85.8
1690953371.0,253.1,-25.9,85.7
1690953386.0,243.3,-29.5,86.0
1690953401.0,250.7,-29.4,81.1
1690953416.0,257.5,-29.2,86.1
1690953431.0,255.2,-26.3,85.9
1690953446.0,252.4,-26.6,89.7
1690953461.0,248.1,-27.4,93.1
1690953476.0,247.4,-26.9,88.6
1690953491.0,250.1,-27.0,81.7
1690953506.0,251.7,-27.6,77.4
1690953521.0,248.5,-28.6,90.2
1690953536.0,243.0,-20.8,89.2
1690953551.0,247.0,-24.9,88.8
1690953566.0,250.8,-27.2,82.7
1690953581.0,254.3,-35.9,98.9
1690953596.0,252.9,-32.5,99.9
1690953611.0,259.1,-35.9,97.1
1690953626.0,256.6,-34.2,95.7
1690953641.0,260.2,-30.1,94.6
1690953656.0,264.0,-32.1,94.6
1690953671.0,245.1,-33.5,96.5
1690953686.0,254.3,-31.0,95.0
1690953701.0,252.8,-34.2,95.4
1690953716.0,255.0,-30.7,89.9
1690953731.0,247.4,-28.9,92.7
