timestamp,loc_x_cm,loc_y_cm,loc_z_cm
1690271846.0,-91.0,-580.0,75.0
1690271861.0,-86.0,-585.0,74.0
1690271876.0,-105.0,-600.0,71.0
1690271891.0,-90.0,-585.0,74.0
1690271906.0,-90.0,-587.0,73.0
1690271921.0,-80.0,-586.0,74.0
1690271936.0,-89.0,-584.0,73.0
1690271951.0,-86.0,-584.0,79.0
1690271966.0,-139.0,-566.0,84.0
1690271981.0,-107.0,-526.0,77.0
1690271996.0,64.0,-589.0,77.0
1690272011.0,98.0,-618.0,73.0
1690272026.0,100.0,-618.0,74.0
1690272041.0,95.0,-566.0,82.0
1690272056.0,165.0,-601.0,80.0
1690272071.0,164.0,-601.0,80.0
1690272086.0,162.0,-599.0,81.0
1690272101.0,168.0,-599.0,82.0
1690272116.0,165.0,-598.0,83.0
1690272131.0,161.0,-598.0,82.0
1690272146.0,161.0,-597.0,82.0
1690272161.0,155.0,-600.0,81.0
1690272176.0,171.0,-571.0,85.0
1690272191.0,234.0,-597.0,70.0
1690272206.0,226.0,-598.0,67.0
1690272221.0,224.0,-593.0,73.0
1690272236.0,218.0,-597.0,72.0
1690272251.0,219.0,-594.0,66.0
1690272266.0,226.0,-594.0,66.0
1690272281.0,163.0,-553.0,77.0
1690272296.0,159.0,-563.0,78.0
1690272311.0,164.0,-568.0,67.0
1690272326.0,145.0,-554.0,78.0
1690272341.0,-46.0,-602.0,78.0
1690272356.0,-52.0,-598.0,87.0
1690272371.0,-52.0,-605.0,107.0
1690272386.0,-38.0,-569.0,82.0
1690272401.0,-45.0,-603.0,75.0
1690272416.0,-37.0,-575.0,85.0
1690272431.0,-51.0,-602.0,76.0
1690272446.0,-43.0,-564.0,85.0
1690272461.0,-40.0,-570.0,86.0
1690272476.0,-36.0,-565.0,87.0
1690272491.0,-62.0,-584.0,99.0
1690272506.0,-71.0,-598.0,88.0
1690272521.0,-66.0,-581.0,83.0
1690272536.0,-81.0,-582.0,80.0
1690272551.0,-80.0,-582.0,81.0
1690272566.0,-80.0,-583.0,82.0
1690272581.0,-77.0,-581.0,81.0
1690272596.0,-72.0,-579.0,83.0
1690272611.0,-72.0,-580.0,83.0
1690272626.0,-72.0,-577.0,84.0
1690272641.0,-77.0,-577.0,83.0
1690272656.0,-77.0,-580.0,82.0
1690272671.0,-79.0,-582.0,83.0
1690272686.0,-86.0,-585.0,87.0
1690272701.0,-89.0,-594.0,78.0
1690272716.0,-67.0,-598.0,76.0
1690272731.0,-99.0,-595.0,93.0
1690272746.0,-86.0,-597.0,77.0
1690272761.0,-84.0,-578.0,83.0
1690272776.0,-82.0,-576.0,84.0
1690272791.0,-106.0,-563.0,85.0
1690272806.0,-86.0,-578.0,84.0
1690272821.0,-80.0,-599.0,76.0
1690272836.0,-96.0,-581.0,80.0
1690272851.0,-76.0,-605.0,75.0
1690272866.0,-89.0,-601.0,77.0
1690272881.0,-97.0,-581.0,79.0
1690272896.0,-94.0,-579.0,79.0
1690272911.0,-94.0,-592.0,83.0
1690272926.0,-99.0,-578.0,75.0
1690272941.0,-99.0,-544.0,94.0
